Location ISO Code;Location;New Cases;New Deaths;New Recovered;New Active Cases;Total Cases;Total Deaths;Total Recovered;Total Active Cases;Location Level;City or Regency;Province;Country;Continent;Island;Time Zone;Special Status;Total Regencies;Total Cities;Total Districts;Total Urban Villages;Total Rural Villages;Area (km2);Population;Population Density;Longitude;Latitude;New Cases per Million;Total Cases per Million;New Deaths per Million;Total Deaths per Million;Case Fatality Rate;Case Recovered Rate;Growth Factor of New Cases;Growth Factor of New Deaths;Name;Item;Kind;Hidden
ID-RI;Riau;235;9;116;110;6166;126;2826;3214;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;38.69;1015.13.00;01.48;0,884722222;2.04%;45.83%;01.24;0,056944444;;;;
ID-RI;Riau;200;5;181;14;6366;131;3007;3228;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;32.93;1048.06.00;0,056944444;21.57;2.06%;47.24%;0,059027778;00.56;;;;
ID-RI;Riau;260;6;192;62;6626;137;3199;3290;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;42.80;1090.86;0,06875;22.55;2.07%;48.28%;01.30;01.20;;;;
ID-RI;Riau;190;6;209;-25;6816;143;3408;3265;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;31.28.00;1122.14.00;0,06875;23.54;2.10%;50.00%;0,050694444;01.00;;;;
ID-RI;Riau;236;5;111;120;7052;148;3519;3385;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;38.85;1161.00.00;0,056944444;24.37.00;2.10%;49.90%;01.24;0,057638889;;;;
ID-RI;Riau;222;4;164;54;7274;152;3683;3439;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;36.55.00;1197.54.00;0,045833333;25.02.00;2.09%;50.63%;0,065277778;0,055555556;;;;
ID-RI;Riau;107;1;27;79;2142;37;1066;1039;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;0,751388889;352.64;00.16;06.09;1.73%;49.77%;01.00;01.00;;;;
ID-RI;Riau;356;7;250;99;7630;159;3933;3538;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;58.61;1256.15.00;01.15;26.18.00;2.08%;51.55%;0,083333333;0,09375;;;;
ID-RI;Riau;130;5;53;72;2272;42;1119;1111;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;21.40;374.05.00;0,056944444;0,313194444;1.85%;49.25%;01.21;05.00;;;;
ID-RI;Riau;177;0;106;71;2449;42;1225;1182;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;29.14.00;403.19.00;00.00;0,313194444;1.71%;50.02%;01.36;00.00;;;;
ID-RI;Riau;141;5;29;107;2590;47;1254;1289;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;23.21;426.40.00;0,056944444;0,343055556;1.81%;48.42%;0,055555556;;;;;
ID-RI;Riau;136;2;49;85;2726;49;1303;1374;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;22.39;448.79;00.33;08.07;1.80%;47.80%;0,066666667;00.40;;;;
ID-RI;Riau;113;3;42;68;2839;52;1345;1442;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;0,791666667;467.39.00;00.49;08.56;1.83%;47.38%;0,057638889;01.50;;;;
ID-RI;Riau;141;3;82;56;2980;55;1427;1498;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;23.21;490.61;00.49;09.05;1.85%;47.89%;01.25;01.00;;;;
ID-SR;Sulawesi Barat;13;2;1;10;1954;36;1552;366;Province;;Sulawesi Barat;Indonesia;Asia;Sulawesi;UTC+08:00;;6;;69;73;575;16787;1559984;92.93;1.193.450.194;-2.461.746.053;08.33;1252.58.00;01.28;23.08;1.84%;79.43%;00.48;;;;;
